Country,Last_Actual_Value,Last_Year,Forecast_Year_1,Forecast_Year_2,Forecast_Year_3,Forecast_Year_4,Forecast_Year_5,Forecast_Avg,Trend
Ethiopia,26.6,2024,29.995596175282962,31.332503239593027,32.66941030390309,34.00631736821316,35.34322443252323,32.6694103039031,Improving
Rwanda,5.0,2024,5.1947366085234385,5.046616284706751,4.898495960890062,4.7503756370733745,4.602255313256686,4.898495960890062,Deteriorating
Kenya,4.2,2025,5.094760173030963,4.865279523213127,4.6357988733952915,4.406318223577456,4.17683757375962,4.6357988733952915,Improving
Togo,2.2,2025,2.8131711065444165,2.832503184362024,2.8518352621796312,2.871167339997238,2.890499417814845,2.8518352621796312,Improving
South Africa,3.2,2025,3.498644587792511,3.1188955598593107,2.73914653192611,2.359397503992909,1.9796484760597084,2.7391465319261097,Deteriorating
Nigeria,24.5,2025,26.01634886786596,26.73178527419489,27.447221680523825,28.16265808685276,28.878094493181692,27.447221680523825,Improving
Ivory Coast,1.7,2025,2.0183320902899293,1.9816900065382388,1.9450479227865483,1.9084058390348577,1.8717637552831672,1.9450479227865483,Improving
Ghana,23.48,2025,26.972304050115767,28.362853124245028,29.75340219837429,31.14395127250355,32.53450034663281,29.753402198374296,Improving
Egypt,23.95,2025,26.13387179378008,27.043658811629367,27.95344582947865,28.863232847327936,29.77301986517722,27.953445829478653,Improving
